sn2022vqz 0.016995 12.774098 29.536720
filter Bs
59855.89855324074 16.44 0.13
59860.898368055554 16.1 0.06
59864.9390162037 15.98 0.04
59865.83799768519 15.94 0.12
59866.85209490741 16.08 0.04
59867.96638888889 16.22 0.03
59868.938159722224 16.33 0.04
59869.93601851852 16.38 0.04
59869.84709490741 16.4 0.16
59870.937789351854 16.4 0.05
59871.021678240744 16.65 0.05
59875.01204861111 17.17 0.08
59878.9230787037 17.17 0.21
59878.83484953704 17.2 0.05
59882.799479166664 17.33 0.14
59882.89503472222 17.62 0.11
59883.924849537034 17.85 0.14
filter Rs
59855.91369212963 15.868 0.02
59859.92099537037 15.422 0.02
59867.98153935185 15.495 0.012
59868.95328703704 15.472 0.013
59869.951157407406 15.413 0.013
59870.946875 15.368 0.018
59871.03681712963 15.548 0.015
59873.92834490741 15.604 0.03
59875.032002314816 15.557 0.015
59878.932858796295 15.671 0.016
59882.90329861111 15.902 0.016
59883.93462962963 16.084 0.016
filter Is
59855.921261574076 15.54 0.03
59859.92855324074 15.11 0.03
59867.99456018519 15.33 0.02
59868.96083333333 15.3 0.03
59869.95872685185 15.15 0.02
59871.04934027778 15.25 0.02
59873.935902777775 15.37 0.04
59875.03957175926 15.41 0.03
filter Vs
59855.906122685185 16.20802143 0.03
59859.9134375 15.78149827 0.03
59860.88667824074 15.7940041 0.03
59865.83081018519 15.61758833 0.03
59866.830358796295 15.67756831 0.03
59867.973958333336 15.71704577 0.015
59868.94571759259 15.783479 0.016
59869.94358796296 15.72067382 0.017
59869.8409837963 15.78421181 0.04
59870.94534722222 15.70985 0.02
59871.02924768518 15.8885292 0.02
59873.92077546296 15.96546514 0.05
59874.8190625 15.98994253 0.04
59875.98730324074 15.99085804 0.02
59878.821921296294 16.21662673 0.05
59878.914930555555 16.10375125 0.04
59880.89611111111 16.19459459 0.08
59882.884675925925 16.39972415 0.03
59883.91229166667 16.44873993 0.02
